priority,item,source_path,destination_path,remote_timestamp,local_timestamp,recommended_action,reason
P0,.claude,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude,/Users/leonidbugaev/.claude,"May 20 10:19:51 2026","Jan 24 10:06:00 2026",merge-with-backup,"Claude Code projects/history are substantially newer on broken Mac"
P0,.claude.json,/Volumes/Macintosh HD-1/Users/leonidbugaev/.claude.json,/Users/leonidbugaev/.claude.json,"May 20 11:34:54 2026","Jan 24 22:06:41 2026",replace-after-backup,"Claude Code state/config newer on broken Mac; semantic merge is risky"
P0,.codex,/Volumes/Macintosh HD-1/Users/leonidbugaev/.codex,/Users/leonidbugaev/.codex,"May 20 09:38:55 2026","May 21 10:28:54 2026",merge-with-backup,"Codex history has many more remote sessions; local is also active so merge selected folders"
P0,Projects,/Volumes/Macintosh HD-1/Users/leonidbugaev/Projects,/Users/leonidbugaev/Projects,"Mar 23 17:52:10 2026",missing,copy-whole-with-excludes,"Remote-only project tree containing newsletter, sherpa-onnx, speech/TTS projects, and related work data"
P1,.gitconfig,/Volumes/Macintosh HD-1/Users/leonidbugaev/.gitconfig,/Users/leonidbugaev/.gitconfig,"May 13 00:18:11 2026","Feb 15 12:55:21 2025",review-and-merge,"Git identity/aliases/includes changed on broken Mac"
P1,.zshrc,/Volumes/Macintosh HD-1/Users/leonidbugaev/.zshrc,/Users/leonidbugaev/.zshrc,"Feb 27 18:23:50 2026","Sep  2 13:00:38 2025",review-and-merge,"Shell configuration newer on broken Mac"
P1,.zprofile,/Volumes/Macintosh HD-1/Users/leonidbugaev/.zprofile,/Users/leonidbugaev/.zprofile,unknown,unknown,review-if-different,"Login shell environment may contain migration-specific PATH/tool setup"
P1,.config,/Volumes/Macintosh HD-1/Users/leonidbugaev/.config,/Users/leonidbugaev/.config,"Feb 27 18:09:22 2026","Oct 15 09:20:21 2025",selective-merge,"Developer app config newer on broken Mac; merge app subdirs only"
P1,.ssh,/Volumes/Macintosh HD-1/Users/leonidbugaev/.ssh,/Users/leonidbugaev/.ssh,"Mar 17 17:00:18 2026","Jan  8 18:45:51 2026",review-then-selective-copy,"SSH config/keys may be newer; never overwrite blindly"
P1,bin,/Volumes/Macintosh HD-1/Users/leonidbugaev/bin,/Users/leonidbugaev/bin,"Feb 21 00:38:14 2026","Feb 13 09:32:03 2025",merge-with-backup,"Personal scripts likely useful for engineering workflow"
P1,conductor,/Volumes/Macintosh HD-1/Users/leonidbugaev/conductor,/Users/leonidbugaev/conductor,"Feb 26 11:49:28 2026","Jan 21 10:34:03 2026",review-and-copy-if-work-related,"Looks like work/project data outside go/src"
P2,Downloads,/Volumes/Macintosh HD-1/Users/leonidbugaev/Downloads,/Users/leonidbugaev/Downloads,"May 19 21:22:03 2026","Jan 23 13:31:32 2026",selective-copy-recent-files,"Likely contains downloaded docs/artifacts/installers from work period; do not bulk copy"
P2,Desktop,/Volumes/Macintosh HD-1/Users/leonidbugaev/Desktop,/Users/leonidbugaev/Desktop,"May 18 14:59:34 2026","May 20 17:27:56 2026",manual-review,"May contain ad hoc notes/screenshots; local also newer"
P2,Documents,/Volumes/Macintosh HD-1/Users/leonidbugaev/Documents,/Users/leonidbugaev/Documents,"May  5 12:21:44 2026","May  5 12:21:44 2026",skip-unless-known-file-needed,"Timestamps match; no immediate signal"
P2,Applications,/Volumes/Macintosh HD-1/Users/leonidbugaev/Applications,/Users/leonidbugaev/Applications,"May 11 16:15:40 2026","Jan 19 10:39:08 2026",inventory-not-copy,"User Applications may reveal tools installed; reinstall preferred over copying apps"
P3,.docker,/Volumes/Macintosh HD-1/Users/leonidbugaev/.docker,/Users/leonidbugaev/.docker,"May  2 10:03:11 2026","May 20 21:11:34 2026",skip-or-review-contexts,"Local Docker config is newer; only copy named contexts if missing"
P3,.kube,/Volumes/Macintosh HD-1/Users/leonidbugaev/.kube,/Users/leonidbugaev/.kube,"Aug 21 18:44:37 2025","Aug 21 18:44:37 2025",skip,"Timestamps match"
P3,.aws,/Volumes/Macintosh HD-1/Users/leonidbugaev/.aws,/Users/leonidbugaev/.aws,"Dec 13 22:16:34 2024","Dec 13 22:16:34 2024",skip,"Timestamps match"
P3,.zsh_history,/Volumes/Macintosh HD-1/Users/leonidbugaev/.zsh_history,/Users/leonidbugaev/.zsh_history,"May 20 10:00:10 2026","May 21 09:56:04 2026",append-unique-if-wanted,"Useful command history but local is newer; append rather than replace"
